kommune,url,sidetype,bekraeftet,note
Glostrup,,ingen,nej,Ingen side paa eget domaene
Greve,https://greve.dk/klima/nyheder/klimanyheder/greve-kommune-i-groen-trepart,enkelt nyhed,ja,Klima-nyhed om Lokal Trepart Koege Bugt; ingen temaside
Gribskov,,ingen,nej,Kun omtale i referat fra Det Groenne Dialogforum (PDF)
Guldborgsund,https://www.guldborgsund.dk/borger/udvikling-i-kommunen/projekter/groen-trepart,projektside,ja,Omlaegningsplan, kort, kontaktpersoner, 144 projekter
Haderslev,https://www.haderslev.dk/udvikling/udvikling-og-projekter/vi-udvikler-naturen-og-klimaet/groen-trepart-i-haderslev-kommune,temaside,ja,Med undersider (omlaegningsplan, FAQ, projekter); 3 lokale treparter
Halsnaes,https://halsnaes.dk/nyheder/2025/apr/groen-trepart-sat-i-gang-i-nyt-udvalg,enkelt nyhed,ja,Ingen temaside; kun nyheder (17.4-udvalg)
Hedensted,https://klima.hedensted.dk/natur-landbrug/groen-trepart-i-hedensted-kommune,temaside,ja,Paa klima-subdomaene; kontakt trepart@hedensted.dk
Helsingoer,,ingen,nej,Ingen side paa helsingor.dk
Herlev,,ingen,nej,Kun omtale paa nyhedsmedie (ikke eget domaene)
Herning,https://www.herning.dk/borger/natur-miljoe-og-klima/klimaplan-og-miljoe/groen-trepart,temaside,ja,Med undersider (udtagningsprojekter, omlaegningsplan)
Hilleroed,https://www.hillerod.dk/service-og-selvbetjening/natur-miljo-og-klima/klima/gron-trepart/,temaside,ja,Med underside For dig der er lodsejer
Hjoerring,,ingen,nej,Side eksisterede tidligere men giver nu 404; ingen verificerbar live-URL
Holbaek,https://holbaek.dk/service-og-selvbetjening/teknik-og-miljoe/groen-trepart,temaside,ja,Med undersider (lavbundsjorde, helhedsprojekter)
Holstebro,https://www.holstebro.dk/trepart,temaside,ja,Vaert for Lokal Trepart Nissum Fjord
Horsens,https://horsens.dk/politik/udviklingsprojekter/trepart,projektside,ja,Lokal groen Trepart Horsens Fjord; 40 projekter
Hvidovre,,ingen,nej,Kun en enkelt PDF-omtale
Hoeje-Taastrup,,ingen,nej,Ingen side paa htk.dk
Hoersholm,https://www.horsholm.dk/nyhed/velbesoegt-dialogmoede-om-groen-trepart,enkelt nyhed,ja,Ingen temaside; kun nyheder (Lokal Trepart OEresund)
Ikast-Brande,https://ikast-brande.dk/borger/teknik-og-miljoe/natur-soeer-og-vandloeb/groen-trepart,temaside,ja,Deltager i 4 lokale treparter
Ishoej,,ingen,nej,Ingen side; medlem af Groen Trepart Koege Bugt
Jammerbugt,http://www.jammerbugt.dk/service-og-selvbetjening/borger/klima-miljo-natur-og-energi/gron-trepart/,temaside,ja,Fyldig temaside med lodsejerinfo
Kalundborg,https://www.kalundborg.dk/service-and-selvbetjening/miljoe-and-natur/lokal-groen-trepart-i-kalundborg-kommune,temaside,ja,Deltager i tre lokale treparter
Kerteminde,https://kerteminde.dk/borger/natur-og-klima/groen-trepart,temaside,ja,Samleside (Odense Fjord/Storebaelt, omlaegningsplan)
Kolding,https://www.kolding.dk/borger/miljoe-natur-og-klima/groen-trepart,temaside,ja,Fyldig temaside (lokale treparter, kystvandraad, FAQ)
Koebenhavn,,ingen,nej,Ingen side paa kk.dk; indgaar i Groen Trepart Koege Bugt
Koege,https://www.koege.dk/politik/byraad-og-udvalg/groen-trepart-koege-bugt,temaside,ja,Kanonisk temaside for Groen Trepart Koege Bugt (16 kommuner); SPA
Langeland,https://langelandkommune.dk/mit-liv/affald-natur-og-miljoe/statens-vandomraadeplaner/groen-trepart-vandomraadeplan-3,temaside,ja,Groen trepart & vandomraadeplan 3
Lejre,https://www.lejre.dk/om-kommunen/klima-og-groen-omstilling/groen-trepart-lejre-kommune,temaside,ja,Groen trepart i Lejre Kommune
Lemvig,https://lemvig.dk/selvbetjening-og-service/natur-miljoe-og-klima/groen-trepart,temaside,ja,Deltager i Nissum Fjord og Limfjorden
Lolland,https://www.lolland.dk/borger/klima-og-miljoe/groen-trepart,temaside,ja,Temaside Groen trepart
Lyngby-Taarbaek,,ingen,nej,Ingen side paa ltk.dk; kun generelle klima/biodiversitet-sider
Laesoe,,ingen,nej,Ingen side; kun en enkelt nyhed der naevner trepart
Mariagerfjord,https://www.mariagerfjord.dk/lokaltrepart,temaside,ja,Lokal Trepart Mariager Fjord
Middelfart,https://middelfart.dk/erhvervsservice/groen-trepart,temaside,ja,Temaside Groen trepart
Morsoe,,ingen,nej,Domaene mors.dk; ingen samleside (kun lavbund/vaadomraade)
Norddjurs,https://norddjurs.dk/borger-og-selvbetjening/klima-og-groen-omstilling/den-groenne-omstilling/lokal-groen-trepart-djursland,temaside,ja,Lokal Groen Trepart Djursland
Nordfyns,https://www.nordfynskommune.dk/borger/klima-miljoe-og-natur/vores-natur/groen-trepart/,temaside,ja,Meget fyldig temaside med materialesamling
Nyborg,https://www.nyborg.dk/da/natur-klima-og-groen-omstilling/groen-omstilling/groen-trepart/,temaside,ja,Med omlaegningsplan, kort og status (3 lokale treparter)
Naestved,https://www.naestved.dk/kommunen/projekter/lokale-treparter-oestersoeen-smaalandsfarvandet-og-bornholm,projektside,ja,Faelles sekretariat for OEstersoeen, Smaalandsfarvandet og Bornholm
Odder,,ingen,nej,Kun medarbejder-kontaktside naevner Groen Trepart
Odense,https://www.odense.dk/byens-udvikling/klima/groen-trepart-i-odense,temaside,ja,Omfattende temaside under Klima
Odsherred,https://www.odsherred.dk/da/bo-og-leve/affald-og-en-groen-hverdag/klimaindsatsen-i-odsherred/landbrug-og-arealanvendelse/groen-trepart/,temaside,ja,Oversigtsside med undersider
Randers,https://www.randers.dk/udvikling-by-og-land/natur-og-miljoe/den-groenne-trepart/,temaside,ja,Deltager i 3 lokale treparter
Rebild,,ingen,nej,Kun byraads-/udvalgssider og dagsorden-PDF'er
Ringkoebing-Skjern,https://www.rksk.dk/om-kommunen/raad-naevn-syn-og-kommissioner/den-lokale-trepart-for-ringkoebing-fjord,temaside,ja,Den Lokale Trepart for Ringkoebing Fjord
Ringsted,https://ringsted.dk/da/borger/natur-miljoe-trafik/natur/groen-trepart,temaside,ja,Verificeret via curl (HTTP 200)
Roskilde,https://www.roskilde.dk/da-dk/om-kommunen/kommunen-i-udvikling/vi-udvikler-naturen-og-klimaet/gron-trepart/,temaside,ja,Med interaktivt kort, tidslinje, principper
Rudersdal,https://rudersdal.dk/groentrepart,temaside,ja,Kort URL; verificeret via curl (HTTP 200)
Roedovre,,ingen,nej,Eget domaene rk.dk; bymaessig kommune uden reelt landbrugsareal
Samsoe,,ingen,nej,Kun nyheder og dagsorden-punkt
Silkeborg,https://silkeborg.dk/borger/natur-og-miljoe/groen-trepart-i-silkeborg-kommune,temaside,ja,Stor temaside; deltager i 5 lokale treparter
Skanderborg,https://www.skanderborg.dk/politik-og-faellesskab/groen-skanderborg/groen-trepart,temaside,ja,Under Groen Skanderborg
Skive,https://skive.dk/demokrati-og-kommune/udvikling-by-og-land/groen-trepart/,temaside,ja,Med undersider (kort, udvalg 2026-2029)
Slagelse,https://www.slagelse.dk/da/demokrati-og-udvikling/udvikling-planer-og-projekter/udvikling-og-projekter/groen-trepart/,temaside,ja,Under Udvikling og projekter
Solroed,https://solrod.dk/aktuelt/nyheder/2025/sep/groen-trepart-koege-bugt-naar-vigtig-milepael,enkelt nyhed,ja,Ingen temaside; nyhed om Groen Trepart Koege Bugt
Soroe,https://soroe.dk/politik-og-indflydelse/udvikling-af-kommunen/klima-og-groen-omstilling/groen-trepart,temaside,ja,Samleside (Smaalandsfarvandet + Kalundborg)
Stevns,https://www.stevns.dk/nyheder/2025/september/groen-trepart-koege-bugt-naar-en-vigtig-milepael,enkelt nyhed,ja,Ingen temaside; nyhed om Koege Bugt
Struer,https://www.struer.dk/borger/miljoe-natur-og-klima/groen-trepart-i-struer-kommune,temaside,ja,Lokale treparter Nissum Fjord + Limfjorden
Svendborg,https://www.svendborg.dk/politik-og-indflydelse/udvikling/groen-trepart/,temaside,ja,Lokal trepart for Det Sydfynske OEhav
Syddjurs,https://www.syddjurs.dk/borger/miljoe-og-klima/den-groenne-trepart,temaside,ja,Tre lokale treparter (Djursland, Randers Fjord, Aarhus Bugt)
Soenderborg,https://sonderborgkommune.dk/klimaportal,projektside,ja,Redirecter til ekstern dkplan-klimaportal hvor Groen Trepart er et afsnit
Thisted,https://www.thisted.dk/service-and-selvbetjening/natur-and-miljoe/groen-trepart,temaside,ja,Groen Trepart i Thy
Toender,https://www.toender.dk/service-og-selvbetjening/klima-natur-og-vand/groen-trepart-og-arealanvendelse/groen-trepart-i-toender-kommune/,temaside,ja,Under Groen trepart og arealanvendelse
Taarnby,https://www.taarnby.dk/om-kommunen/klima-og-baeredygtighed/gron-trepart/,temaside,ja,Lokale treparter OEresund + Koege Bugt
Vallensbaek,https://www.vallensbaek.dk/nyheder/2025/jan/vallensbaek-tager-ansvar-for-klimaet-ny-repraesentant-valgt-til-groen-trepart,enkelt nyhed,ja,Ingen temaside; kun denne nyhed
Varde,https://vardekommune.dk/borger/affald-og-miljo/groentrepart/,temaside,ja,Groen Trepart Varde Kommune
Vejen,https://vejen.dk/borger/natur-miljoe-klima-og-affald/vandplanprojekter/omlaegning-af-arealer-i-vejen-kommune,projektside,ja,Omlaegning af arealer; trepart-side: /erhverv/.../lokal-trepart-vadehavet
Vejle,https://www.vejle.dk/da/groent-liv/groen-trepart/,temaside,ja,Fuld temaside (lokalt samarbejde, lodsejermoeder, FAQ)
Vesthimmerlands,,ingen,nej,Ingen side paa vesthimmerland.dk
Viborg,https://viborg.dk/demokrati-og-indflydelse/udvikling-og-planer/udvikling/vi-udvikler-natur-og-klimaprojekter/groen-trepart/,temaside,ja,Samleside; sekretariat for Lokal Trepart Randers Fjord
Vordingborg,https://www.vordingborg.dk/borger/miljoe-og-natur/groen-trepart,temaside,ja,Lokale treparter Smaalandsfarvandet + OEstersoeen
AEroe,https://www.aeroekommune.dk/mit-erhverv/groen-trepart,temaside,ja,Det Sydfynske OEhav + Lillebaelt-Fyn
